DocInfo/DescLong=SC: Evolution Complete Observer Mod<n/>This mod is based on the work from:<n/>- AhliObs by AhliSC2<n/>- WCS GameHeart by Blizzard<n/>- ObserverPlus by nice_username
DocInfo/Name=SC: Evo Observer Mod
ScoreValue/Name/PlayerId=PlayerId
UI/BattleReport/AbilitesUsed=Использованные способности
UI/BattleReport/DamageDealt=Нанесённый урон
UI/BattleReport/ResourcesDestroyed=Уничтоженные ресурсы
UI/BattleReport/Title=Боевой отчет
UI/BattleReport/UnitsKilled=Уничтоженные юниты
UI/Graph/ArmySize=РАЗМЕР АРМИИ
UI/Graph/IncomeAdvantage=ПРЕИМУЩЕСТВО ПО ДОХОДУ
UI/Graph/ResourcesGathered=СОБРАННЫЕ РЕСУРСЫ
UI/Graph/ResourcesLost=ПОТЕРЯННЫЕ РЕСУРСЫ
UI/Graphs/CurrentTime=ТЕКУЩИЙ
UI/Graphs/Minus10Minutes=-10 мин.
UI/Graphs/Minus5Minutes=-5 мин.
UI/UpgradeNotification/Canceled=Отменено
UI/UpgradeNotification/Completed=Завершено
UI/UpgradeNotification/Denied=Недоступно
Upgrade/Name/GameHeartActive=GameHeartActive
Upgrade/NameShort/BansheeCloak=Маскировочное поле «Банши»
Upgrade/NameShort/PersonalCloaking=Личная маскировка «Призрак»
Upgrade/NameShort/ProtossAirArmorsLevel1=Броня воздушных войск, уровень 1
Upgrade/NameShort/ProtossAirArmorsLevel2=Броня воздушных войск, уровень 2
Upgrade/NameShort/ProtossAirArmorsLevel3=Броня воздушных войск, уровень 3
Upgrade/NameShort/ProtossAirArmorsSCBW_Lvl1=Броня воздушных войск, уровень 1
Upgrade/NameShort/ProtossAirArmorsSCBW_Lvl2=Броня воздушных войск, уровень 2
Upgrade/NameShort/ProtossAirArmorsSCBW_Lvl3=Броня воздушных войск, уровень 3
Upgrade/NameShort/ProtossAirWeaponsLevel1=Вооружение воздушных войск, уровень 1
Upgrade/NameShort/ProtossAirWeaponsLevel2=Вооружение воздушных войск, уровень 2
Upgrade/NameShort/ProtossAirWeaponsLevel3=Вооружение воздушных войск, уровень 3
Upgrade/NameShort/ProtossAirWeaponsSCBW_Lvl1=Вооружение воздушных войск, уровень 1
Upgrade/NameShort/ProtossAirWeaponsSCBW_Lvl2=Вооружение воздушных войск, уровень 2
Upgrade/NameShort/ProtossAirWeaponsSCBW_Lvl3=Вооружение воздушных войск, уровень 3
Upgrade/NameShort/ProtossGroundArmorsLevel1=Броня наземных войск, уровень 1
Upgrade/NameShort/ProtossGroundArmorsLevel2=Броня наземных войск, уровень 2
Upgrade/NameShort/ProtossGroundArmorsLevel3=Броня наземных войск, уровень 3
Upgrade/NameShort/ProtossGroundArmorsSCBW_Lvl1=Броня наземных войск, уровень 1
Upgrade/NameShort/ProtossGroundArmorsSCBW_Lvl2=Броня наземных войск, уровень 2
Upgrade/NameShort/ProtossGroundArmorsSCBW_Lvl3=Броня наземных войск, уровень 3
Upgrade/NameShort/ProtossGroundWeaponsLevel1=Вооружение наземных войск, уровень 1
Upgrade/NameShort/ProtossGroundWeaponsLevel2=Вооружение наземных войск, уровень 2
Upgrade/NameShort/ProtossGroundWeaponsLevel3=Вооружение наземных войск, уровень 3
Upgrade/NameShort/ProtossGroundWeaponsSCBW_Lvl1=Вооружение наземных войск, уровень 1
Upgrade/NameShort/ProtossGroundWeaponsSCBW_Lvl2=Вооружение наземных войск, уровень 2
Upgrade/NameShort/ProtossGroundWeaponsSCBW_Lvl3=Вооружение наземных войск, уровень 3
Upgrade/NameShort/ProtossShieldsLevel1=Щиты, уровень 1
Upgrade/NameShort/ProtossShieldsLevel2=Щиты, уровень 2
Upgrade/NameShort/ProtossShieldsLevel3=Щиты, уровень 3
Upgrade/NameShort/ProtossShieldsSCBW_Lvl1=Щиты, уровень 1
Upgrade/NameShort/ProtossShieldsSCBW_Lvl2=Щиты, уровень 2
Upgrade/NameShort/ProtossShieldsSCBW_Lvl3=Щиты, уровень 3
Upgrade/NameShort/TerranInfantryArmorsLevel1=Броня пехоты, уровень 1
Upgrade/NameShort/TerranInfantryArmorsLevel2=Броня пехоты, уровень 2
Upgrade/NameShort/TerranInfantryArmorsLevel3=Броня пехоты, уровень 3
Upgrade/NameShort/TerranInfantryArmorsSCBW_Lvl1=Броня пехоты, уровень 1
Upgrade/NameShort/TerranInfantryArmorsSCBW_Lvl2=Броня пехоты, уровень 2
Upgrade/NameShort/TerranInfantryArmorsSCBW_Lvl3=Броня пехоты, уровень 3
Upgrade/NameShort/TerranInfantryWeaponsLevel1=Вооружение пехоты, уровень 1
Upgrade/NameShort/TerranInfantryWeaponsLevel2=Вооружение пехоты, уровень 2
Upgrade/NameShort/TerranInfantryWeaponsLevel3=Вооружение пехоты, уровень 3
Upgrade/NameShort/TerranInfantryWeaponsSCBW_Lvl1=Вооружение пехоты, уровень 1
Upgrade/NameShort/TerranInfantryWeaponsSCBW_Lvl2=Вооружение пехоты, уровень 2
Upgrade/NameShort/TerranInfantryWeaponsSCBW_Lvl3=Вооружение пехоты, уровень 3
Upgrade/NameShort/TerranShipArmorsLevel1=Обшивка воздушной техники, уровень 1
Upgrade/NameShort/TerranShipArmorsLevel2=Обшивка воздушной техники, уровень 2
Upgrade/NameShort/TerranShipArmorsLevel3=Обшивка воздушной техники, уровень 3
Upgrade/NameShort/TerranShipPlatingSCBW_Lvl1=Обшивка воздушной техники, уровень 1
Upgrade/NameShort/TerranShipPlatingSCBW_Lvl2=Обшивка воздушной техники, уровень 2
Upgrade/NameShort/TerranShipPlatingSCBW_Lvl3=Обшивка воздушной техники, уровень 3
Upgrade/NameShort/TerranShipWeaponsLevel1=Вооружение воздушной техники, уровень 1
Upgrade/NameShort/TerranShipWeaponsLevel2=Вооружение воздушной техники, уровень 2
Upgrade/NameShort/TerranShipWeaponsLevel3=Вооружение воздушной техники, уровень 3
Upgrade/NameShort/TerranShipWeaponsSCBW_Lvl1=Вооружение воздушной техники, уровень 1
Upgrade/NameShort/TerranShipWeaponsSCBW_Lvl2=Вооружение воздушной техники, уровень 2
Upgrade/NameShort/TerranShipWeaponsSCBW_Lvl3=Вооружение воздушной техники, уровень 3
Upgrade/NameShort/TerranVehicleAndShipArmorsLevel1=Обшивка наземной техники, уровень 1
Upgrade/NameShort/TerranVehicleAndShipArmorsLevel2=Обшивка наземной техники, уровень 2
Upgrade/NameShort/TerranVehicleAndShipArmorsLevel3=Обшивка наземной техники, уровень 3
Upgrade/NameShort/TerranVehicleArmorsLevel1=Обшивка наземной техники, уровень 1
Upgrade/NameShort/TerranVehicleArmorsLevel2=Обшивка наземной техники, уровень 2
Upgrade/NameShort/TerranVehicleArmorsLevel3=Обшивка наземной техники, уровень 3
Upgrade/NameShort/TerranVehiclePlatingSCBW_Lvl1=Обшивка наземной техники, уровень 1
Upgrade/NameShort/TerranVehiclePlatingSCBW_Lvl2=Обшивка наземной техники, уровень 2
Upgrade/NameShort/TerranVehiclePlatingSCBW_Lvl3=Обшивка наземной техники, уровень 3
Upgrade/NameShort/TerranVehicleWeaponsLevel1=Вооружение наземной техники, уровень 1
Upgrade/NameShort/TerranVehicleWeaponsLevel2=Вооружение наземной техники, уровень 2
Upgrade/NameShort/TerranVehicleWeaponsLevel3=Вооружение наземной техники, уровень 3
Upgrade/NameShort/TerranVehicleWeaponsSCBW_Lvl1=Вооружение наземной техники, уровень 1
Upgrade/NameShort/TerranVehicleWeaponsSCBW_Lvl2=Вооружение наземной техники, уровень 2
Upgrade/NameShort/TerranVehicleWeaponsSCBW_Lvl3=Вооружение наземной техники, уровень 3
Upgrade/NameShort/ZergFlyerArmorsLevel1=Панцири воздушных войск, уровень 1
Upgrade/NameShort/ZergFlyerArmorsLevel2=Панцири воздушных войск, уровень 2
Upgrade/NameShort/ZergFlyerArmorsLevel3=Панцири воздушных войск, уровень 3
Upgrade/NameShort/ZergFlyerAttacksSCBW_Lvl1=Атака воздушных войск, уровень 1
Upgrade/NameShort/ZergFlyerAttacksSCBW_Lvl2=Атака воздушных войск, уровень 2
Upgrade/NameShort/ZergFlyerAttacksSCBW_Lvl3=Атака воздушных войск, уровень 3
Upgrade/NameShort/ZergFlyerCarapaceSCBW_Lvl1=Панцири воздушных войск, уровень 1
Upgrade/NameShort/ZergFlyerCarapaceSCBW_Lvl2=Панцири воздушных войск, уровень 2
Upgrade/NameShort/ZergFlyerCarapaceSCBW_Lvl3=Панцири воздушных войск, уровень 3
Upgrade/NameShort/ZergFlyerWeaponsLevel1=Атака воздушных войск, уровень 1
Upgrade/NameShort/ZergFlyerWeaponsLevel2=Атака воздушных войск, уровень 2
Upgrade/NameShort/ZergFlyerWeaponsLevel3=Атака воздушных войск, уровень 3
Upgrade/NameShort/ZergGroundArmorsLevel1=Панцири наземных войск, уровень 1
Upgrade/NameShort/ZergGroundArmorsLevel2=Панцири наземных войск, уровень 2
Upgrade/NameShort/ZergGroundArmorsLevel3=Панцири наземных войск, уровень 3
Upgrade/NameShort/ZergGroundCarapaceSCBW_Lvl1=Панцири наземных войск, уровень 1
Upgrade/NameShort/ZergGroundCarapaceSCBW_Lvl2=Панцири наземных войск, уровень 2
Upgrade/NameShort/ZergGroundCarapaceSCBW_Lvl3=Панцири наземных войск, уровень 3
Upgrade/NameShort/ZergMeleeAttacksSCBW_Lvl1=Атака ближнего боя, уровень 1
Upgrade/NameShort/ZergMeleeAttacksSCBW_Lvl2=Атака ближнего боя, уровень 2
Upgrade/NameShort/ZergMeleeAttacksSCBW_Lvl3=Атака ближнего боя, уровень 3
Upgrade/NameShort/ZergMeleeWeaponsLevel1=Атака ближнего боя, уровень 1
Upgrade/NameShort/ZergMeleeWeaponsLevel2=Атака ближнего боя, уровень 2
Upgrade/NameShort/ZergMeleeWeaponsLevel3=Атака ближнего боя, уровень 3
Upgrade/NameShort/ZergMissileAttacksSCBW_Lvl1=Атака дальнего боя, уровень 1
Upgrade/NameShort/ZergMissileAttacksSCBW_Lvl2=Атака дальнего боя, уровень 2
Upgrade/NameShort/ZergMissileAttacksSCBW_Lvl3=Атака дальнего боя, уровень 3
Upgrade/NameShort/ZergMissileWeaponsLevel1=Атака дальнего боя, уровень 1
Upgrade/NameShort/ZergMissileWeaponsLevel2=Атака дальнего боя, уровень 2
Upgrade/NameShort/ZergMissileWeaponsLevel3=Атака дальнего боя, уровень 3
